Rule ID,Rule Name,Rule Description,Fraud Value,Notes
"FD-CHECKIN-DIFFERENT-CITIES-SAME-DAY","Same Day Multi-City Check-ins","Identifies users who check in with customers in multiple distant cities on the same day that cannot be traveled between under normal transportation conditions (e.g., same-day check-ins in Beijing and Guangzhou).","1","Current enterprise services already implement location restrictions for check-ins"
"FD-MULTI-CITY-SINGLE-DAY-NO-FLIGHT","Multi-City Single Day No Flight","Identifies users with activity records in multiple distant cities (over 500km) on the same day without any flight or high-speed rail records.","2","Should also check for self-driving"
"FD-HOTEL-MULTIDAY-NO-CHECKOUT","Multi-day Hotel No Checkout","Identifies users with multiple hotel stays in different cities during the same time period with overlapping dates, which is physically impossible.","2","If stricter rules are needed, should exclude hotels booked for customers"
"FD-HOTEL-DUPLICATE-DATE-DIFFERENT-CITIES","Hotel Duplicate Dates Different Cities","Detects users with multiple hotel stays in different cities on the same date.","2",""
"FD-UBIQUITOUS-PRESENCE","Same-Day Multiple Distant Locations","Detects users with activity records in multiple distant cities across the country (e.g., Beijing, Shanghai, Guangzhou) on the same day, which is physically impossible.","3",""
"FD-TRANSPORT-REVERSE-TIME","Transportation Reverse Time","Detects logical time errors in transportation events, such as arrival time being earlier than departure time.","1",""
"FD-FLIGHT-DEPARTURE-AFTER-ARRIVAL","Flight Departure After Arrival","Identifies logical errors in flight records where departure time is later than arrival time.","1","Flight ticket fraud probability is currently rare"
"FD-TRANSPORT-ARRIVAL-BEFORE-DEPARTURE","Transport Arrival Before Departure","Identifies logical errors in transportation events where arrival time is earlier than departure time.","1",""
"FD-FLIGHT-IMMEDIATE-RETURN","Flight Immediate Return","Detects users who take return flights in an extremely short time (within 2 hours) after arriving at the destination city, making it physically almost impossible to complete any business activity.","0","Not considered fraudulent from evaluation perspective"
"FD-MULTI-HOTEL-SAME-NIGHT","Multiple Hotels Same Night","Identifies users with multiple hotel stays at different hotels on the same night, which is physically impossible.","1","If stricter rules are needed, should exclude hotels booked for customers"
"FD-FLIGHT-IMPOSSIBLE-CONNECTION","Flight Impossible Connection","Identifies impossible connections in consecutive flights where the first flight's arrival time is later than the second flight's departure time.","2","Domestic tickets require online real-name booking, so this situation would likely involve overseas tickets"
"FD-MULTITRIP-SAME-TIME","Multiple Trips Same Time","Identifies users who submit expense claims for multiple different types of transportation during the same time period, such as simultaneously claiming taxi and train expenses.","2","If stricter rules are needed, should exclude cases of taking taxis for customers"
"FD-FLIGHT-RAILWAY-SAME-TIME","Flight Railway Same Time Period","Identifies users who have both flight and railway itineraries during the same time period, which is physically impossible.","1",""
"FD-HOTEL-STAY-NO-ARRIVAL","Hotel Stay No Arrival Record","Identifies users with hotel stays far from their residence but without any transportation expense records to that city.","1","1. If the distance is not far, they might have driven themselves or ridden in someone else's car. 2. The transportation tickets might not have been submitted for reimbursement yet."
"FD-TAXI-IMPOSSIBLE-SPEED","Taxi Impossible Speed","Identifies taxi trips with average speeds exceeding physical possibilities (e.g., over 120 km/h in urban areas), indicating potential misreporting of time or distance.","1","1. Current domestic taxi services require online business travel booking, so this speeding issue shouldn't appear in orders. 2. If not using business travel services for taxis and submitting receipts for reimbursement, an itinerary is still required. 3. For overseas taxis, receipts cannot be standardized and likely don't have specific pickup/drop-off times."
"FD-TAXI-FLIGHT-TRANSIT-MISSING","Taxi Flight Transit Missing","Detects users using taxis in different cities but missing necessary intercity transportation records (such as flights or railways).","1","We no longer allow employees to take Didi or taxis on their own in China. All orders must be placed through the online business travel corporate account."
"FD-RAILWAY-TAXI-OVERLAP","Railway Taxi Time Overlap","Detects users whose train itinerary times overlap with taxi trip times, and the locations are not in the same city, which is physically impossible.","1","We no longer allow employees to take Didi or taxis on their own in China. All orders must be placed through the online business travel corporate account."
"FD-FLIGHT-TAXI-CONFLICT","Flight Taxi Conflict","Detects users whose flight departure or arrival times logically conflict with taxi usage times in the same city.","1",""
"FD-FLIGHT-RAILWAY-DEPARTURE-OVERLAP","Flight Railway Departure Overlap","Identifies users whose flight departure time overlaps with railway departure time, which is physically impossible.","0","Both flight and train tickets are now real-name based - could be unused tickets that were purchased but the person didn't actually go, resulting in waste but not necessarily fraudulent"
"FD-EXCESSIVE-DISTANCE-SHORT-TIME","Excessive Distance Short Time","Detects users who complete journeys covering excessive distances (e.g., over 150km between cities) in extremely short times (e.g., within 1 hour).","1",""
"FD-HOTEL-STAY-DURING-HOME-CITY-ACTIVITY","Hotel Stay During Home City Activity","Identifies users with hotel stays in another city on the same day they have activity records in their home city.","2","If stricter rules are needed, should exclude hotels booked for customers"
"FD-CHECKIN-WITHOUT-TRANSPORTATION","Check-in Without Transportation","Detects users who check in at locations far from the previous day's activity location (e.g., in another city) but have no transportation expense records to explain this movement.","1",""
"FD-FLIGHT-GROUND-CONFLICT","Flight Ground Activity Conflict","Identifies users who claim ground transportation expenses (e.g., taxis) during flight times, which is physically contradictory.","1",""
"FD-HOTEL-FLIGHT-TEMPORAL-CONFLICT","Hotel Flight Temporal Conflict","Identifies users whose hotel check-in dates logically conflict with flight itinerary dates.","3","Similarly, exclude cases where bookings were made for customers"
"FD-REMOTE-LOCATION-NO-TRANSPORT","Remote Location No Transportation","Detects users with activity records in remote locations but without any transportation expense records to those locations.","1",""
"FD-MULTI-DIRECTION-SAME-TIME","Multi-Direction Same Time","Detects users with multiple transportation expense records heading in different directions during the same time period.","1","If stricter rules are needed, should exclude taxis booked for customers"
